ObservationID,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,UVIndex,Visibility_km,DewPoint,RainTomorrow
W0150,2018-04-25,Townsville,23.5,36.5,5.0,13.5,11.4,SW,45,ESE,SSE,0,15,25,26,1028.3,1023.3,2,,28.1,36.1,No,2,30.9,20.5,No
W0151,2018-12-23,Hobart,6.8,13.5,5.9,8.9,5.3,SSW,100,SW,SE,-47.0,37,96,76,,1008.9,7,5,7.8,12.7,Yes,5,41.3,4.7,Yes
W0152,2015-04-21,Cairns,18.8,36.4,4.8,8.8,8.0,SE,45,NNW,SSE,4,11,46,44,1021.2,1008.2,4,3,26.2,34.6,No,10,14.9,21.3,No
W0153,2020-02-26,Hobart,9.5,14.9,2.2,4.4,7.4,NW,44,SW,ENE,9,18,57,43,1024.8,1015.3,5,0,9.8,12.5,No,8,29.7,13.6,No
W0154,2020-11-15,Newcastle,10.8,22.5,0.5,0.3,10.7,NE,20,NNE,W,30,4,34,51,1014.0,1027.8,2,5,12.4,18.2,No,11,15.2,7.2,No
W0155,2017-11-11,Perth,15.2,21.1,0.8,1.4,7.4,E,7,SE,SE,18,6,51,22,1012.5,1013.3,4,5,16.1,20.7,No,7,32.1,13.6,No
W0156,2022-04-21,Brisbane,16.6,25.6,1.9,7.1,8.1,ENE,9,ENE,NW,13,12,128,21,1027.0,,2,2,17.9,22.5,N,5,43.3,18.3,No
W0157,2019-12-23,Canberra,6.5,15.8,26.8,8.2,1.4,,80,ESE,ENE,24,56,79,55,998.1,996.9,7,7,10.7,15.8,Yes,8,38.2,8.0,Yes
W0158,2022-06-25,Hobart,8.1,20.9,2.5,6.0,,ENE,36,NNE,ENE,5,7,54,23,1028.6,1024.8,3,0,11.5,20.3,No,11,14.4,7.9,No
W0159,2020-12-06,Perth,18.6,29.1,4.4,12.5,11.8,N,22,W,ENE,6,-23.0,57,47,1015.9,1020.9,4,3,19.8,24.8,No,6,14.5,15.1,No
W0160,2020-10-16,Brisbane,15.0,32.1,27.6,7.6,0.3,NE,53,NNW,E,26,41,77,84,1014.8,994.0,5,8,22.3,30.2,Yes,2,24.0,10.1,Yes
W0161,2021-01-29,Darwin,23.7,39.1,1.3,3.0,10.8,NW,27,S,ENE,4,17,40,20,1027.1,1027.9,0,2,29.5,38.5,No,4,9.2,22.1,No
W0162,2021-03-18,Sydney,16.4,20.2,0.2,4.3,8.6,SSW,31,ENE,SE,17,12,65,29,1025.1,1024.9,3,4,17.5,20.1,No,7,16.1,11.4,No
W0163,2016-12-25,Brisbane,16.6,32.5,2.4,5.8,8.1,NW,10,NW,NNW,10,34,43,38,1010.3,1017.6,5,0,21.3,31.6,No,4,48.3,13.7,No
W0164,2019-12-13,MELBOURNE,15.1,29.9,3.9,,-0.1,SW,98,SW,N,36,44,87,69,0,1002.4,7,6,15.8,24.0,No,5,42.5,16.0,Yes
W0165,2016-09-27,Melbourne,11.0,26.5,1.7,1.7,8.5,S,13,SSW,NNW,29,34,47,32,1024.2,1012.0,0,4,14.2,25.0,No,9,35.1,15.0,No
W0166,2019-04-05,Canberra,6.5,22.9,2.0,11.0,12.1,WNW,8,SE,ESE,15,5,67,34,1023.0,1020.3,1,3,14.1,15.4,No,2,26.6,8.3,No
W0167,2019-03-26,Sydney,13.5,24.1,32.5,1.0,0.4,N,85,NNW,NNE,53,24,65,92,1004.6,993.0,8,8,17.4,23.2,No,2,34.2,,Yes
W0168,2020-01-10,Adelaide,11.9,27.3,3.0,14.1,9.1,NNW,9,S,NNW,30,7,26,23,,1009.6,3,3,17.1,19.7,No,8,9.8,10.7,No
W0169,2020-07-16,Wollongong,10.6,24.4,1.3,5.1,7.1,SW,40,NNE,ESE,13,0,55,23,1012.1,1026.1,0,1,15.2,17.9,No,2,32.9,7.3,No
W0170,2016-02-18,Newcastle,12.2,200,24.8,3.3,5.6,SE,54,NW,ESE,35,58,78,58,1014.3,1001.1,8,7,12.8,17.8,No,10,23.7,7.2,Yes
W0171,2016-04-21,Adelaide,9.5,24.5,9999,6.2,10.0,S,41,S,ENE,21,33,34,40,1023.0,1023.4,1,0,13.8,19.0,No,4,8.4,9.2,No
W0172,2020-02-03,Darwin,-99,35.4,2.2,,10.0,NNW,11,ENE,SE,1,24,30,34,1012.7,1015.2,2,2,26.3,35.1,No,6,8.8,16.7,No
W0173,2018-05-24,Brisbane,17.5,25.9,0.5,3.5,11.8,NE,9,NNW,SSE,5,15,28,65,1028.1,1009.4,0,,19.6,23.5,No,11,45.6,,No
W0174,2016-03-05,Melbourne,8.9,19.0,1.7,10.0,9.7,SE,12,SW,SE,6,19,61,47,1024.9,1015.6,4,,13.3,17.9,No,5,7.6,5.8,No
W0175,2022-02-25,Adelaide,14.9,24.7,0.7,1.5,5.5,SW,13,SW,N,20,10,36,51,1013.4,1022.2,,5,18.4,24.4,No,5,20.5,13.9,No
W0176,2022-05-14,Canberra,10.7,17.8,4.4mm,,5.8,NE,41,NNE,E,29,20,70,46,1023.3,1010.9,0,2,13.0,16.8,Yes,8,44.0,15.2,No
W0177,2020-04-24,Adelaide,10.4,25.9,4.5,11.6,8.2,NW,11,NE,NE,30,16,62,51,1012.5,1013.9,4,5,15.0,19.5,No,1,46.2,11.0,No
W0178,2015-02-13,Townsville,19.7,31.2,25.0,3.1,6.0,,46,ESE,NE,21,64,90,93,1007.9,1005.0,7,4,21.5,27.8,Yes,4,25.4,22.9,Yes
W0179,2021-01-08,Sydney,13.6,24.2,3.4,10.2,2.2,,47,NE,SSW,59,17,75,94,997.8,1000.3,8,7,18.8,19.9,no,6,46.2,14.3,Yes
W0180,2018-08-17,Melbourne,11.2,21.6,4.3,12.9,8.0,NNW,45,SW,N,22,19,68,63,1026.5,1020.0,4,0,13.1,17.4,No,4,19.7,14.3,No
W0181,2018-03-14,Wollongong,11.1,21.1,3.1,14.0,12.0,WNW,11,SE,SW,27,29,44,23,1025.9,1014.1,2,4,13.9,18.1,No,4,7.0,12.0,No
W0182,2015-08-26,Perth,17.5,21.6,1.9,10.3,,,24,E,NNW,4,30,46,500,1026.0,1015.5,4,4,18.4,19.6,No,11,26.3,15.3,No
W0183,2021-04-17,Perth,12.1,26.8,10.0,-13.6,2.0,ENE,52,WSW,SE,53,39,66,89,,1010.8,4,8,15.1,22.5,No,6,40.2,15.5,Yes
W0184,2016-10-09,Melbourne,13.0,17.2,25.1,0.5,1.2,NW,41,SSW,SSW,15,43,69,65,997.6,1001.2,7,6,13.6,15.6,Yes,7,22.6,10.1,Yes
W0185,2017-07-05,Adelaide,15.9,28.5,3.9,4.7,10.5,SSW,999,SSE,WSW,7,21,68,42,1021.2,,5,3,21.4,23.7,No,3,37.2,18.8,No
W0186,2015-11-01,Melbourne,7.7,19.8,2.7,,10.0,,19,SW,ENE,10,17,27,51,1010.5,1023.0,5,4,13.5,15.8,No,9,5.8,8.1,No
W0187,2019-10-13,Melbourne,7.2,25.2,2.2,6.7,11.5,NE,34,ESE,WNW,8,8,43,52,1010.4,,2,1,8.8,16.2,No,5,45.2,7.1,No
W0188,2015-11-02,Canberra,10.3,15.9,0.8,10.8,4.2,N,10,E,NNW,9,7,45,28,1022.0,1018.3,5,0,12.7,14.1,No,8,26.5,7.7,No
W0189,2019-10-17,Adelaide,14.2,20.3,2.3,6.8,5.3,SW,30,SSW,ESE,58,19,98,63,1011.6,,4,4,16.8,18.4,Yes,11,42.5,16.5,Yes
W0190,2022-12-14,Adelaide,11.8,19.4,2.1,12.1,6.2,SW,35,SE,ESE,27,25,63,59,1011.9,1013.7,3,0,14.4,17.1,No,2,47.4,8.3,No
W0191,2018-01-09,Sydney,11.4,-50,34.7,4.5,3.9,SE,53,WSW,SE,27,44,82,85,999.4,1001.3,7,8,11.9,16.9,Yes,1,30.8,9.2,Yes
W0192,2022-03-16,Adelaide,9.8,28.9,3.4,4.3,8.9,NW,22,SSW,SSW,13,21,26,41,1021.0,1011.4,1,0,16.9,24.5,No,11,47.5,8.3,No
W0193,2016-10-22,Wollongong,15.8,28.4,3.8,9.4,9.4,NNW,12,NNW,ESE,1,1,25,45,1026.8,1022.2,3,1,19.9,23.5,Yes,9,28.8,15.2,No
W0194,2015-10-15,Sydney,14.3,25.6,3.9,12.1,12.8,SW,25,SSW,ENE,3,1,999,34,1018.2,1016.3,3,3,17.0,20.1,No,6,11.1,15.5,No
W0195,2018-05-16,Perth,14.7,21.3,3.1,1.0,11.3,SW,26,SE,SSE,3,30,68,29,1014.6,1011.2,0,4,16.8,21.0,No,8,47.8,15.8,No
W0196,2021-05-05,Perth,13.9,23.6,4.8,5.2,10.6,W,28,SE,E,0,4,30,55,1011.7,1023.0,2,3,17.3,22.6,No,8,28.3,14.0,No
W0197,2018-07-28,Adelaide,12.6,26.0,4.0,2.9,4.9,,39,ENE,E,15,16,32,42,1027.3,1017.6,1,3,16.7,22.8,No,10,33.6,13.2,No
W0198,2015-10-02,Newcastle,12.0,-50,37.8,3.7,5.5,NE,47,NE,NNW,52,16,78,78,2000,993.7,5,8,12.5,24.4,No,10,29.2,16.1,Yes
W0199,2020-04-09,Brisbane,16.1,32.8,1.3,7.8,7.2,SE,20,NW,E,9,34,40,55,1020.5,1020.3,5,3,19.5,30.4,No,9,14.6,15.2,No
W0200,2017-06-01,Brisbane,19.0,25.0,4.9,11.2,6.2,NW,20,SE,N,1,3,69,52,1016.8,1021.4,5,4,21.5,22.1,No,10,15.4,19.3,No
W0201,2022-03-19,Newcastle,10.2,20.6,2.5,13.0,10.6,SW,40,SW,NNW,15,3,27,48,1022.1,1014.7,3,0,11.1,15.5,No,9,26.7,6.1,No
W0202,2017-04-26,Hobart,11.0,16.7,6.9,7.4,1.5,W,86,NNE,ESE,43,42,95,86,1009.0,996.9,4,7,13.6,16.1,Yes,4,5.0,7.5,Yes
W0203,2016-06-26,Sydney,13.5,24.4,4.6,11.6,6.3,ENE,20,E,ENE,13,-21.0,69,28,1023.1,1011.8,1,2,14.1,22.8,No,11,18.1,13.5,No
W0204,2018-08-21,Townsville,18.0,35.6,1.3,5.4,12.0,NW,32,SW,WSW,16,21,65,130,1010.4,1025.9,1,2,20.0,33.2,Yes,10,30.0,21.2,No
W0205,2019-02-07,Adel@ide,18.7,29.7,1.6,12.4,1.5,SE,97,ENE,S,50,49,90,56,995.1,,6,7,23.6,27.5,No,7,17.9,16.2,Yes
W0206,2017-04-06,Cairns,22.5,29.7,4.2,13.0,-1,S,22,NNE,WNW,0,30,62,45,1012.5,1015.4,2,1,25.6,26.6,No,11,29.3,19.8,No
W0207,2019-06-18,Adelaide,11.4,27.5,-2.9,,,E,16,NW,SW,5,22,26,22,1024.2,,3,0,18.4,20.1,No,4,41.0,7.8,No
W0208,2017-08-23,Cairns,22.0,28.7,12.5,11.1,0.2,SSW,69,WNW,SSW,55,21,88,-5,1002.8,993.0,4,8,23.8,26.3,Yes,9,45.2,24.2,Yes
W0209,2021-06-13,Brisbane,17.1,26.4,4.1,0.4,10.3,SSE,20,W,SE,2,0,53,101,1010.7,1008.6,0,2,18.4,25.2,No,2,28.4,22.1,No
W0210,2018-01-07,Melbourne,23.4°C,8.6,1.9,2.0,5.0,E,24,ENE,E,25,24,35,38,1011.0,1020.9,5,3,12.4,23.0,No,6,35.6,10.7,No
W0211,2017-12-20,Cairns,23.0,35.2,2.0,11.2,6.4,NNW,28,W,W,14,16,44,57,1027.0,1028.0,3,0,23.4,32.4,No,8,20.6,25.6,No
W0212,2022-06-27,Hobart,10.2,13.5,2.8,-7.7,-99,NE,24,SSE,NW,7,6,49,28,1028.5,1010.2,4,4,10.7,12.7,No,5,10.6,13.2,No
W0213,2021-05-12,Canberra,10.9,14.1,5000,2.2,,SE,23,SE,SE,13,23,50,64,1019.1,1022.7,2,0,10.9,13.4,No,7,41.9,6.5,No
W0214,2019-11-23,Adelaide,-99,28.8,3.1,6.6,10.1,SSE,45,S,SE,7,34,34,60,1010.2,1013.6,3,3,10.0,24.1,No,11,14.3,10.2,No
W0215,2017-03-21,Adelaide,10.6,24.2,3.4,4.4,,NNE,10,NE,ENE,24,3,25,54,1015.5,1016.7,0,5,14.6,20.0,No,7,19.4,11.9,No
W0216,2016-10-31,Hobart,8.6,16.8,3.1,5.1,5.4,SSW,61,S,SE,31,20,87,66,1013.9,993.2,6,6,9.0,13.4,Yes,7,18.5,8.1,Yes
W0217,2020-04-07,Townsville,17.5,36.1,31.9,5.9,3.4,ENE,98,ESE,NNW,53,25,97,63,1014.7,1006.2,,6,23.4,30.3,Yes,7,22.5,18.7,Yes
W0218,2015-04-22,Darwin,23.3,39.2,10.5,6.9,6.0,NNW,91,N,SE,44,56,69,65,1002.5,998.9,7,4,26.2,34.5,Yes,5,5.8,20.3,yes
W0219,2020-11-21,Townsville,22.8,30.7,2.2,14.7,9.1,SE,34,S,WSW,18,1,36,20,1015.7,1026.2,1,1,23.9,27.9,No,11,10.5,26.2,No
W0220,2020-07-20,Townsville,21.4,28.1,2.4,5.0,4.4,SSW,11,SSW,ESE,-5.0,25,30,53,1010.0,1026.5,4,3,24.2,27.5,Yes,11,37.9,,No
W0221,2020-12-26,Newcastle,16.3,22.5,3.7,9.3,11.7,WSW,8,ESE,W,7,14,45,44,1015.2,,5,2,16.3,21.5,No,3,37.4,18.1,No
W0222,2015-07-24,Canberra,7.4,20.6,1.7,1.1,7.2,SSE,17,SSE,W,17,20,58,61,1029.1,1009.2,,5,9.5,15.5,No,2,22.6,12.0,No
W0223,2020-01-31,Wollongong,14.9,19.4,3.6,,11.9,NW,20,SE,SSW,2,23,67,61,1016.1,1023.9,3,5,15.9,18.3,No,9,9.9,19.3,No
W0224,2018-09-01,Brisbane,20.1,25.0,4.5,10.7,9.5,NNE,34,SW,ENE,29,29,41,42,1017.2,1013.1,5,1,20.6,23.7,Yes,9,15.9,24.6,No
W0225,2021-05-15,Cairns,19.6,36.6,2.5,,6.5,ENE,27,S,N,9,2,68,49,1013.4,1015.5,4,1,26.5,36.0,No,10,44.0,18.1,No
W0226,2020-09-21,Hobart,9.3,23.4,-5,14.6,100,NNE,10,NW,S,2,11,46,44,1025.9,1009.9,4,2,10.7,20.4,No,11,27.1,10.4,No
W0227,2016-12-24,Perth,17.8,22.3,4.9,5.2,2.0,,53,WSW,W,18,23,93,58,1014.8,,5,6,19.7,20.3,No,11,19.8,16.1,Yes
W0228,2016-06-26,Brisbane,14.6,33.4,0.7,12.8,6.0,SSW,44,NE,SSW,29,22,55,21,,1025.2,1,2,17.0,25.1,No,6,21.2,11.6,No
W0229,2015-06-13,Hobart,8.4,23.2,2.2,12.5,9.8,,8,WSW,NW,27,20,48,63,,1015.1,4,3,13.9,19.2,No,6,26.3,5.0,No
W0230,2019-01-15,Darwin,20.2,31.2,4.8,6.2,10.6,SE,43,N,E,1,18,64,23,1029.0,1023.5,1,1,22.4,26.0,No,10,26.7,21.3,No
W0231,2021-11-14,Canberra,5.7,18.0,12.5,9.6,,ENE,32,NW,NE,36,28,66,74,1006.6,994.6,6,7,5.8,17.8,No,9,26.1,8.1,Yes
W0232,2018-01-21,Melbourne,8.6,17.7,0.8,,6.4,NNE,23,SW,ENE,21,17,59,44,1029.9,1019.1,4,5,11.0,17.5,Yes,6,31.9,11.4,No
W0233,2021-03-06,Brisbane,28.0,18.0,18.3,11.7,0.6,SE,90,SW,WNW,49,45,65,81,-100,997.8,8,,22.6,26.0,No,10,12.9,21.1,Yes
W0234,21/02/2022,Brisbane,15.8,26.1,4.4,6.8,4.4,SW,28,SSE,ESE,25,8,56,60,1017.7,1014.7,1,1,18.0,22.7,No,5,45.5,13.8,No
W0235,2015-02-08,Sydney,15.6,25.6,3.5,6.0,12.3,ESE,43,WNW,SSW,24,31,56,61,1018.5,1013.2,2,3,18.5,21.7,Yes,3,44.2,14.1,No
W0236,2019-10-18,Newcastle,14.2,27.8,23.3,,4.9,SE,77,SSE,W,47,59,62,70,1012.1,1003.6,8,4,20.5,23.5,Yes,4,33.8,17.1,Yes
W0237,2018-05-27,Wollongong,12.7,25.5,2.2,6.9,12.0,N,37,NW,NW,28,22,54,18,0,1022.0,0,,15.2,19.6,No,2,20.5,13.9,No
W0238,16/04/2021,Darwin,26.6,35.0,4.7,4.6,7.0,SE,17,WNW,NE,15,12,40,64,1029.8,1013.7,3,,27.5,31.8,No,6,44.9,31.3,No
W0239,2020-10-18,Perth,14.6,30.1,6.7,7.0,4.6,NNW,58,E,ESE,41,21,66,93,999.8,,5,,18.5,24.4,No,5,15.7,,Yes
W0240,2018-06-23,Newcastle,16.3,19.3,2.4,9.1,11.3,NW,40,N,N,10,24,70,63,1013.3,1027.5,4,0,16.3,18.4,No,9,48.5,16.9,No
W0241,2021-09-17,Melbourne,12.6,24.0,3.4,11.6,7.6,NNW,5000,N,N,9,0,66,24,1029.1,1008.1,3,4,17.3,21.5,Yes,2,37.9,8.0,No
W0242,2017-06-01,Brisbane,19.0,25.0,4.9,11.2,6.2,NW,20,SE,N,1,3,69,52,1016.8,1021.4,5,4,21.5,22.1,No,10,15.4,19.3,No
W0243,2015-04-28,Townsville,19.1,26.0,4.3,12.5,4.1,W,31,NW,WNW,16,17,41,35,1021.7,1022.6,4,0,20.5,26.0,No,8,49.5,14.8,No
W0244,2021-08-30,Cairns,22.2,27.3,3.5,6.9,5.6,NNW,20,SW,S,18,13,25,22,1012.1,1025.1,2,0,22.5,25.2,No,8,33.5,25.5,No
W0245,2019-10-13,Canberra,10.4,16.2,2.9,12.7,11.0,SW,17,NE,WNW,25,10,51,58,1028.7,1008.9,3,3,11.9,16.1,No,2,21.3,7.2,No
W0246,2016-01-29,Townsville,19.8,33.1,4.5,9.2,12.0,NNE,44,SSW,SW,19,0,70,38,1023.2,1018.6,0,4,25.8,27.6,No,7,33.7,23.6,No
W0247,2020-08-23,Perth,15.1,28.2,1.0,8.8,8.9,SE,33,WSW,N,14,7,999,44,1020.7,1026.2,0,4,16.4,23.9,No,2,15.0,14.6,No
W0248,20/11/2018,Hobart,6.5,22.4,4.8,6.1,12.2,N,28,SSW,N,10,29,33,64,1012.6,1012.4,1,3,10.2,16.8,No,3,21.3,9.1,No
W0249,2016-08-16,Darwin,21.7,35.6,19.9,5.2,3.4,WNW,48,WNW,ESE,23,58,68,96,1002.4,997.4,6,8,25.0,28.7,No,11,48.9,24.1,Yes
W0250,2015-08-17,Melbourne,10.4,21.5°C,0.7,13.1,8.6,S,31,W,N,1,21,35,54,1028.3,1023.0,4,2,13.6,21.3,No,7,32.5,7.8,No
W0251,2015-06-09,Cairns,21.1,28.6,1.2,14.3,,,31,NNE,SW,20,13,34,31,1023.3,1025.3,5,,21.3,27.6,Yes,2,14.1,17.9,No
W0252,2015-09-26,Canberra,10.6,17.6,1.7,13.0,11.4,NNE,32,WSW,S,18,34,70,25,1011.2,1012.7,4,3,11.4,14.7,No,6,33.7,5.7,No
W0253,2021-07-26,Hobart,7.3,16.6,1.8,6.5,,,39,NNE,ESE,22,24,68,36,1025.6,1010.8,5,4,8.0,13.7,Yes,7,29.9,4.7,No
W0254,2018-06-08,Newcastle,-200,24.0,30.9,13.3,,N,35,SE,E,50,50,200,71,998.4,993.8,4,7,14.3,20.5,Yes,5,12.0,8.0,Yes
W0255,2022-02-22,Sydney,16.1,23.2,1.4,12.0,8.2,WNW,32,W,WNW,16,9,64,43,1013.7,1008.1,2,,17.0,22.3,No,2,15.1,16.0,No
W0256,2017-10-01,Canberra,8.9,21.5,0.2,10.2,5.6,E,38,E,W,26,14,33,26,1022.2,1020.9,3,1,9.5,18.4,No,7,34.0,6.8,No
W0257,2022-05-24,Melbourne,25.9,12.7,2.3,2.7,10.4,S,41,SE,WSW,14,20,65,28,1024.1,1021.9,0,,13.0,21.1,No,9,37.2,8.4,No
W0258,2017-07-25,Hobart,9.0,13.0,1.6,7.8,9.1,NNW,12,NW,S,17,5,32,15,1011.0,1025.8,4,1,10.7,11.8,No,6,16.8,8.9,No
W0259,2018-01-25,Perth,16.8,28.9,2.1,11.7,12.5,NW,34,WSW,NNW,6,3,36,25,1025.1,1016.4,5,1,17.4,24.9,No,11,39.9,14.8,No
W0260,2018-03-17,Townsville,23.6,35.1,4.4,12.7,10.1,E,10,WNW,WNW,23,2,56,19,1028.4,1011.3,2,2,27.8,30.4,Yes,9,8.8,25.1,No
W0261,2019-11-28,Brisbane,16.9,29.2,3.5,7.5,9.1,SSE,17,W,ESE,17,-21.0,38,25,9999,1017.6,1,2,22.2,23.2,No,7,17.5,12.9,No
W0262,2017-03-27,Cairns,20.8,31.1,4.1,12.8,8.2,ENE,16,SE,E,3,8,54,49,1015.9,1023.3,1,1,23.9,27.7,No,6,24.2,22.0,No
W0263,2015-03-29,Canberra,5.9,20.7,3.9,4.0,5.0,NW,31,NE,SW,9,3,32,57,1027.3,1009.4,5,,10.5,15.2,No,3,36.8,8.0,No
W0264,2018-09-03,Newcastle,14.1,23.2,39.8,10.9,4.2,ESE,30,S,S,38,31,63,61,1011.4,995.9,4,6,18.3,21.3,No,7,40.0,13.7,Yes
W0265,2021-01-07,Brisbane,17.8,24.4,4.6,4.5,12.9,S,24,ENE,W,11,5,52,49,1014.1,1014.9,0,2,20.2,23.9,No,4,47.3,14.4,No
W0266,2022-10-04,Adelaide,12.1,26.2,1.0,2.0,4.3,W,12,SE,S,10,-10.0,44,17,1024.2,1017.7,4,5,16.9,19.9,No,6,35.4,9.1,No
W0267,2022-07-29,Newcastle,13.3,25.0,1.0,7.0,6.8,S,999,SSW,SSE,24,5,51,48,1023.8,1024.1,1,5,14.8,24.0,No,11,28.3,15.7,No
W0268,2017-06-26,Melbourne,13.3,19.2,0.4,,11.6,SW,12,WNW,NW,30,22,49,22,1013.3,1008.7,4,2,15.0,17.7,No,4,45.3,9.2,No
W0269,2020-11-08,Perth,14.8,24.9,0.3,8.4,6.2,SSW,0,S,NW,16,6,31,23,1019.2,1015.7,1,1,17.2,24.3,No,5,32.4,10.2,No
W0270,2015-10-06,Hobart,8.6,17.1,3.7mm,6.3,6.0,NE,34,WNW,SSE,54,61,93,67,,,6,8,10.4,13.4,Yes,5,25.8,5.3,Yes
W0271,2015-02-16,Brisbane,16.2,26.0,3.8,14.1,6.3,E,42,ENE,ENE,25,21,59,38,1016.2,1025.0,1,1,18.6,22.6,No,3,8.0,14.9,No
W0272,2015-09-28,Townsville,20.8,32.5,2.7,3.4,,SSE,41,ENE,NW,11,33,46,38,1018.8,1015.6,4,0,22.5,32.3,No,5,16.9,23.5,No
W0273,2017-10-27,Darwin,23.9,37.0,1.2,9.7,4.2,256,45,S,SE,14,35,64,40,1014.4,1024.4,4,2,25.0,31.6,No,11,33.1,20.0,No
W0274,2021-11-21,Wollongong,11.4,20.3,34.2,,,NNE,49,SSW,N,53,58,69,75,1012.3,993.4,8,6,14.2,16.5,No,6,21.9,15.3,Yes
W0275,2021-06-02,Perth,12.9,28.7,3.2,5.0,11.2,WNW,23,WNW,ENE,29,24,43,28,1010.3,1022.6,,,18.6,21.3,No,10,21.4,13.4,No
W0276,2017-10-24,Townsville,18.1,26.0,3.2,8.9,5.6,SSE,31,SSW,WNW,6,26,37,42,1026.1,1020.2,0,4,22.0,23.0,No,1,14.9,16.8,No
W0277,2022-12-20,Darwin,21.1,29.2,5000,5.6,4.7,ESE,35,ENE,WSW,31,37,74,70,,1009.7,8,6,21.2,25.4,Yes,5,40.3,24.2,Yes
W0278,2020-07-12,Adelaide,12.6,29.0,2.8,14.9,6.9,ENE,27,WSW,NNW,25,16,27,43,1017.9,1009.6,5,3,17.8,23.8,No,4,5.8,14.0,No
W0279,2015-02-24,Canberra,7.9,16.7,1.6,5.9,10.4,NW,14,SSE,NNE,16,26,68,53,1025.5,1012.0,4,3,9.4,15.0,No,8,42.8,9.3,No
W0280,29/10/2018,Darwin,22.7,34.2,3.2,3.4,,ESE,24,SW,NW,7,17,60,42,1011.2,1014.7,0,3,23.2,33.5,No,7,9.5,18.3,No
W0281,06/09/2017,Townsville,18.7,27.3,0.1,3.5,4.0,WNW,0,ENE,WSW,0,25,64,150,1022.7,1008.5,3,3,21.5,25.1,No,5,29.0,,No
W0282,2021-04-17,Newcastle,12.6,24.6,4.1,14.9,11.1,WNW,23,N,WSW,8,35,60,21,1011.2,1027.8,5,2,16.1,23.2,No,2,5.4,15.1,No
W0283,2019-07-06,Brisbane,17.5,25.7,4.4,,6.7,WNW,23,SSE,E,30,18,65,25,1022.7,1027.6,,5,20.7,21.6,No,7,25.3,19.1,No
W0284,2019-06-04,Hobart,8.5,23.6,2.6,-12.1,11.1,W,9,ESE,SE,22,35,38,41,,1008.1,0,3,12.2,21.4,No,10,27.1,11.8,No
W0285,2018-03-04,Darwin,20.4,33.2,0.4,14.8,11.0,SSE,42,W,S,0,33,36,30,1019.6,1019.1,3,2,24.8,33.1,No,7,19.3,23.7,No
W0286,2020-06-14,Canberra,8.6,22.3,19.1,4.6,2.7,NW,80,ESE,WNW,29,26,999,95,,,8,8,14.6,17.3,Yes,7,45.6,12.2,Yes
W0287,2019-06-14,Newcastle,13.5,22.4,2.8,5.0,,NE,10,WSW,SSE,11,31,59,35,1011.9,1019.5,3,2,14.4,20.3,No,5,32.7,14.9,No
W0288,2021-04-01,Wollongong,10.5,19.5,3.4,0.8,6.0,SE,42,E,N,13,11,50,55,1024.3,,0,4,11.5,17.9,No,5,26.3,7.0,No
W0289,2022-11-11,Brisbane,15.0,32.2,3.5,12.6,10.4,ENE,12,ENE,SW,16,22,39,30,1023.1,1011.8,1,3,22.3,24.7,Yes,6,15.4,19.9,No
W0290,2022-03-13,Hobart,5.0,13.6,0.5,9.8,8.9,NE,35,S,NW,18,28,52,64,1017.3,1013.9,0,4,8.3,13.3,No,9,34.5,6.0,No
W0291,2017-02-18,Perth,16.2,31.0,0.5,2.3,11.1,S,10,NE,W,22,28,62,59,1026.4,1009.1,2,1,20.1,29.9,No,4,36.2,20.5,No
W0292,2019-03-16,Cairns,24.6,29.5,3.0,7.4,7.3,N,16,SSE,NNW,2,11,31,37,1016.2,1020.9,,0,25.1,28.3,No,5,29.7,29.0,No
W0293,2018-10-23,Perth,12.5,31.2,4.7,12.3,10.6,ESE,10,NNE,NNW,17,22,26,28,1011.2,1017.6,5,3,21.3,28.3,No,1,43.2,17.5,No
W0294,2022-06-21,Darwin,22.8,29.9,1.0,5.1,8.1,E,37,SE,WSW,24,21,46,150,1026.6,,3,3,25.7,28.4,No,11,22.6,,No
W0295,2020-05-15,Darwin,26.4,32.8,-13.5,8.0,5.0,W,79,NE,W,21,26,97,85,,1012.7,5,5,27.2,31.3,Yes,8,26.7,22.9,Yes
W0296,2017-11-29,Wollongong,14.2,21.9,26.8,10.9,4.8,SSW,45,S,SSW,23,15,98,77,997.2,1008.0,4,7,14.8,18.2,Yes,5,5.2,10.3,Yes
W0297,2019-10-09,Wollongong,12.2,20.1,1.7,5.7,7.5,,28,E,S,5,4,43,23,1016.5,1014.5,5,,13.8,19.9,No,11,32.1,9.5,No
W0298,2019-09-19,Canberra,8.9,16.5,0.4,8.4,10.8,ESE,24,NE,NNW,10,29,70,44,1017.8,1009.9,,2,9.2,16.0,Yes,8,8.4,13.4,No
W0299,2018-05-30,Adelaide,15.5,28.2,2.7,3.1,12.6,W,27,E,S,21,33,52,48,1027.6,1014.8,5,2,16.2,24.3,No,4,12.0,15.2,No
W0300,2020-11-23,Adelaide,13.8,19.0,3.0,,-5.2,NE,12,N,ESE,17,21,67,65,1022.7,1014.0,1,2,14.9,17.7,No,7,49.1,13.9,No
